CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Customer_Profile
10000,29,9,788.23,3,4,4,344,11,Champions
10001,14,6,389.84000000000003,4,3,3,433,10,Loyal Customers
10002,104,4,229.43,1,2,2,122,5,At Risk
10003,50,2,54.839999999999996,3,1,1,311,5,At Risk
10004,29,5,459.36,3,2,4,324,9,Loyal Customers
10005,88,1,62.94,2,1,1,211,4,Lost
10006,61,7,315.75,2,4,3,243,9,Loyal Customers
10007,4,7,259.42,4,4,2,442,10,Loyal Customers
10008,85,3,273.03000000000003,2,1,2,212,5,At Risk
10009,17,6,323.59,4,3,3,433,10,Loyal Customers
10010,106,4,555.42,1,2,4,124,7,Potential Loyalists
10011,28,10,346.36,3,4,3,343,10,Loyal Customers
10012,13,5,242.78,4,2,2,422,8,Potential Loyalists
10013,71,4,244.78,2,2,2,222,6,At Risk
10014,51,5,126.1,3,2,1,321,6,At Risk
10015,5,5,391.34999999999997,4,2,3,423,9,Loyal Customers
10016,25,8,513.22,3,4,4,344,11,Champions
10017,89,2,71.27,2,1,1,211,4,Lost
10018,29,7,538.96,3,4,4,344,11,Champions
10019,15,7,538.0799999999999,4,4,4,444,12,Champions
10020,88,7,254.64,2,4,2,242,8,Potential Loyalists
10021,30,7,373.6,3,4,3,343,10,Loyal Customers
10022,149,6,360.85,1,3,3,133,7,Potential Loyalists
10023,275,1,67.4,1,1,1,111,3,Lost
10024,45,6,177.44,3,3,2,332,8,Potential Loyalists
10025,162,5,229.94,1,2,2,122,5,At Risk
10026,45,3,290.22,3,1,3,313,7,Potential Loyalists
10027,27,6,408.4,3,3,4,334,10,Loyal Customers
10028,61,7,339.57,2,4,3,243,9,Loyal Customers
10029,204,2,107.14999999999999,1,1,1,111,3,Lost
10030,235,2,136.32,1,1,1,111,3,Lost
10031,162,2,188.34,1,1,2,112,4,Lost
10032,41,3,119.57,3,1,1,311,5,At Risk
10033,104,3,80.80000000000001,1,1,1,111,3,Lost
10034,25,7,371.72,3,4,3,343,10,Loyal Customers
10035,7,4,245.11,4,2,2,422,8,Potential Loyalists
10036,24,5,198.92,3,2,2,322,7,Potential Loyalists
10037,105,3,211.70999999999998,1,1,2,112,4,Lost
10038,22,12,488.01,3,4,4,344,11,Champions
10039,22,6,235.42999999999998,3,3,2,332,8,Potential Loyalists
10040,14,9,545.75,4,4,4,444,12,Champions
10041,25,5,412.77,3,2,4,324,9,Loyal Customers
10042,8,6,446.4,4,3,4,434,11,Champions
10043,121,3,111.80000000000001,1,1,1,111,3,Lost
10044,21,1,175.59,3,1,2,312,6,At Risk
10045,93,4,180.15,2,2,2,222,6,At Risk
10046,19,9,435.51,4,4,4,444,12,Champions
10047,53,3,92.64,2,1,1,211,4,Lost
10048,82,6,419.2,2,3,4,234,9,Loyal Customers
10049,10,2,74.43,4,1,1,411,6,At Risk
10050,81,6,184.54,2,3,2,232,7,Potential Loyalists
10052,60,6,253.28,2,3,2,232,7,Potential Loyalists
10053,39,5,452.75,3,2,4,324,9,Loyal Customers
10054,138,5,282.0,1,2,3,123,6,At Risk
10055,46,3,272.73,3,1,2,312,6,At Risk
10056,60,3,270.33,2,1,2,212,5,At Risk
10057,43,6,459.88,3,3,4,334,10,Loyal Customers
10058,12,5,350.89,4,2,3,423,9,Loyal Customers
10059,76,4,205.51999999999998,2,2,2,222,6,At Risk
10060,70,3,80.72,2,1,1,211,4,Lost
10061,39,4,163.2,3,2,1,321,6,At Risk
10062,2,7,493.90999999999997,4,4,4,444,12,Champions
10063,118,2,57.1,1,1,1,111,3,Lost
10064,25,6,252.8,3,3,2,332,8,Potential Loyalists
10065,134,6,335.77,1,3,3,133,7,Potential Loyalists
10066,89,3,45.14,2,1,1,211,4,Lost
10067,73,3,81.5,2,1,1,211,4,Lost
10068,13,7,536.75,4,4,4,444,12,Champions
10069,17,4,291.84,4,2,3,423,9,Loyal Customers
10071,40,4,165.81,3,2,1,321,6,At Risk
10072,25,7,520.4000000000001,3,4,4,344,11,Champions
10073,161,2,159.54,1,1,1,111,3,Lost
10074,68,11,859.23,2,4,4,244,10,Loyal Customers
10075,51,5,518.52,3,2,4,324,9,Loyal Customers
10076,193,2,70.99000000000001,1,1,1,111,3,Lost
10077,7,6,418.6,4,3,4,434,11,Champions
10078,47,4,129.24,3,2,1,321,6,At Risk
10079,239,2,92.73,1,1,1,111,3,Lost
10080,40,5,185.47,3,2,2,322,7,Potential Loyalists
10081,17,4,261.96,4,2,2,422,8,Potential Loyalists
10082,149,4,294.33000000000004,1,2,3,123,6,At Risk
10083,21,10,502.62,3,4,4,344,11,Champions
10084,7,3,184.41,4,1,2,412,7,Potential Loyalists
10085,69,7,261.32,2,4,2,242,8,Potential Loyalists
10086,2,6,628.38,4,3,4,434,11,Champions
10087,11,4,262.02000000000004,4,2,2,422,8,Potential Loyalists
10088,63,5,358.66999999999996,2,2,3,223,7,Potential Loyalists
10089,65,5,497.99,2,2,4,224,8,Potential Loyalists
10090,129,2,55.53,1,1,1,111,3,Lost
10091,85,6,471.13,2,3,4,234,9,Loyal Customers
10092,36,3,119.14,3,1,1,311,5,At Risk
10093,214,1,54.26,1,1,1,111,3,Lost
10094,156,5,228.74,1,2,2,122,5,At Risk
10095,2,4,351.25,4,2,3,423,9,Loyal Customers
10096,145,3,218.38,1,1,2,112,4,Lost
10097,141,4,278.01,1,2,3,123,6,At Risk
10098,13,12,829.51,4,4,4,444,12,Champions
10099,57,3,122.81,2,1,1,211,4,Lost
10100,41,4,222.0,3,2,2,322,7,Potential Loyalists
10101,7,7,488.75,4,4,4,444,12,Champions
10102,49,5,319.08,3,2,3,323,8,Potential Loyalists
10103,25,8,460.0,3,4,4,344,11,Champions
10104,69,3,116.61,2,1,1,211,4,Lost
10105,59,6,269.2,2,3,2,232,7,Potential Loyalists
10106,26,5,282.76,3,2,3,323,8,Potential Loyalists
10107,65,5,286.88,2,2,3,223,7,Potential Loyalists
10108,12,8,477.15999999999997,4,4,4,444,12,Champions
10109,203,1,13.66,1,1,1,111,3,Lost
10110,61,7,307.09999999999997,2,4,3,243,9,Loyal Customers
10111,4,3,398.86,4,1,4,414,9,Loyal Customers
10112,44,12,796.58,3,4,4,344,11,Champions
10113,43,5,191.73,3,2,2,322,7,Potential Loyalists
10114,44,4,137.25,3,2,1,321,6,At Risk
10115,16,4,466.54999999999995,4,2,4,424,10,Loyal Customers
10116,6,9,447.4,4,4,4,444,12,Champions
10117,13,9,605.1899999999999,4,4,4,444,12,Champions
10118,9,6,412.21000000000004,4,3,4,434,11,Champions
10119,94,7,368.54,2,4,3,243,9,Loyal Customers
10120,182,2,64.71,1,1,1,111,3,Lost
10121,35,6,364.06,3,3,3,333,9,Loyal Customers
10122,235,2,38.45,1,1,1,111,3,Lost
10123,64,8,564.22,2,4,4,244,10,Loyal Customers
10124,51,3,205.89,3,1,2,312,6,At Risk
10125,13,6,372.11,4,3,3,433,10,Loyal Customers
10126,144,7,343.49,1,4,3,143,8,Potential Loyalists
10127,18,6,553.71,4,3,4,434,11,Champions
10128,14,6,417.4,4,3,4,434,11,Champions
10129,14,9,548.66,4,4,4,444,12,Champions
10130,48,8,514.62,3,4,4,344,11,Champions
10131,38,5,177.56,3,2,2,322,7,Potential Loyalists
10132,35,6,329.78,3,3,3,333,9,Loyal Customers
10133,39,3,92.62,3,1,1,311,5,At Risk
10134,13,2,88.39,4,1,1,411,6,At Risk
10135,180,2,107.98,1,1,1,111,3,Lost
10136,34,5,246.59,3,2,2,322,7,Potential Loyalists
10137,204,3,372.75,1,1,3,113,5,At Risk
10138,160,4,617.11,1,2,4,124,7,Potential Loyalists
10139,168,3,240.32,1,1,2,112,4,Lost
10140,77,6,248.76,2,3,2,232,7,Potential Loyalists
10141,65,4,184.5,2,2,2,222,6,At Risk
10142,6,7,443.42,4,4,4,444,12,Champions
10143,73,7,573.41,2,4,4,244,10,Loyal Customers
10144,13,7,479.87,4,4,4,444,12,Champions
10145,64,6,275.86,2,3,2,232,7,Potential Loyalists
10146,95,7,517.36,2,4,4,244,10,Loyal Customers
10147,8,6,300.29,4,3,3,433,10,Loyal Customers
10148,6,7,180.02,4,4,2,442,10,Loyal Customers
10149,198,1,34.56,1,1,1,111,3,Lost
10150,94,4,172.71,2,2,1,221,5,At Risk
10151,155,4,153.32999999999998,1,2,1,121,4,Lost
10152,114,5,633.14,1,2,4,124,7,Potential Loyalists
10153,62,8,420.96000000000004,2,4,4,244,10,Loyal Customers
10154,78,3,77.0,2,1,1,211,4,Lost
10155,104,7,394.57,1,4,3,143,8,Potential Loyalists
10156,79,5,303.94,2,2,3,223,7,Potential Loyalists
10157,198,3,200.26999999999998,1,1,2,112,4,Lost
10158,51,6,455.82000000000005,3,3,4,334,10,Loyal Customers
10159,110,7,417.39,1,4,4,144,9,Loyal Customers
10160,34,10,562.13,3,4,4,344,11,Champions
10161,90,7,476.39,2,4,4,244,10,Loyal Customers
10162,40,7,370.73,3,4,3,343,10,Loyal Customers
10163,18,4,331.21999999999997,4,2,3,423,9,Loyal Customers
10164,211,7,726.55,1,4,4,144,9,Loyal Customers
10165,258,3,215.07,1,1,2,112,4,Lost
10166,20,5,230.77999999999997,3,2,2,322,7,Potential Loyalists
